,geometry,x,y,cluster
10573067950,POINT (-13625131.016218472 4548117.276599503),-13625131.016218472,4548117.276599503,218
10573654801,POINT (-13629167.861704802 4546078.264131325),-13629167.861704802,4546078.264131325,299
10573779782,POINT (-13629496.332126286 4547316.286951322),-13629496.332126286,4547316.286951322,234
10575364924,POINT (-13629747.55795311 4548034.884801077),-13629747.55795311,4548034.884801077,105
10575832905,POINT (-13629703.141476281 4547724.604547667),-13629703.141476281,4547724.604547667,32
10575939854,POINT (-13629780.708897468 4547965.676194263),-13629780.708897468,4547965.676194263,105
10575981868,POINT (-13627459.864493662 4549144.482424187),-13627459.864493662,4549144.482424187,47
10587783608,POINT (-13627636.45060191 4545873.410429191),-13627636.45060191,4545873.410429191,38
10587939935,POINT (-13627506.08434624 4545865.891130203),-13627506.08434624,4545865.891130203,38
10587994279,POINT (-13630217.348468155 4539199.056490464),-13630217.348468155,4539199.056490464,157
10588046466,POINT (-13629997.9377518 4539539.817319282),-13629997.9377518,4539539.817319282,57
10592469559,POINT (-13631591.18683183 4540468.350352723),-13631591.18683183,4540468.350352723,29
10592504203,POINT (-13631551.523697259 4540459.765346241),-13631551.523697259,4540459.765346241,29
10592504204,POINT (-13631635.336141879 4540479.370133701),-13631635.336141879,4540479.370133701,29
10593152033,POINT (-13624691.081590857 4550499.864693427),-13624691.081590857,4550499.864693427,185
10593152035,POINT (-13624847.941885334 4550644.669549357),-13624847.941885334,4550644.669549357,185
10597422710,POINT (-13627527.190521695 4544325.7602349585),-13627527.190521695,4544325.7602349585,113
10600380560,POINT (-13627595.618612684 4545211.29641128),-13627595.618612684,4545211.29641128,238
10600380562,POINT (-13627595.985967005 4545218.702596086),-13627595.985967005,4545218.702596086,238
10600380563,POINT (-13627597.62236352 4545229.966765583),-13627597.62236352,4545229.966765583,238
10606540535,POINT (-13628207.552985525 4545808.102541644),-13628207.552985525,4545808.102541644,2
10606540536,POINT (-13628214.911203867 4546006.012891505),-13628214.911203867,4546006.012891505,259
10606540539,POINT (-13628206.0501724 4546095.358924032),-13628206.0501724,4546095.358924032,259
10607174161,POINT (-13627651.211566387 4545994.93093901),-13627651.211566387,4545994.93093901,282
10607521288,POINT (-13632738.924177755 4540862.409760709),-13632738.924177755,4540862.409760709,146
10609477671,POINT (-13627578.809369573 4545629.106394594),-13627578.809369573,4545629.106394594,38
10610255657,POINT (-13634078.108783947 4541185.617432207),-13634078.108783947,4541185.617432207,233
10612914639,POINT (-13628964.29175199 4546209.883493718),-13628964.29175199,4546209.883493718,299
10613050082,POINT (-13636267.395813534 4547521.070455619),-13636267.395813534,4547521.070455619,23
10617038679,POINT (-13625723.926090334 4549964.714194333),-13625723.926090334,4549964.714194333,76
10617038681,POINT (-13625651.92464369 4549977.0399972275),-13625651.92464369,4549977.0399972275,76
10617038682,POINT (-13625642.807577394 4549978.321881566),-13625642.807577394,4549978.321881566,76
10617054524,POINT (-13625091.386479748 4549656.094934648),-13625091.386479748,4549656.094934648,194
10623964564,POINT (-13627516.771017356 4548968.9643193465),-13627516.771017356,4548968.9643193465,96
10627475790,POINT (-13632458.944526462 4540676.742998557),-13632458.944526462,4540676.742998557,146
10628590731,POINT (-13626690.902847111 4544534.8636024045),-13626690.902847111,4544534.8636024045,70
10633881105,POINT (-13627158.567159882 4545408.463237355),-13627158.567159882,4545408.463237355,98
10635333073,POINT (-13626784.578198614 4545506.25249645),-13626784.578198614,4545506.25249645,174
10635345334,POINT (-13626989.773415994 4546365.24633023),-13626989.773415994,4546365.24633023,251
10635345503,POINT (-13626879.177501887 4546014.827769381),-13626879.177501887,4546014.827769381,281
10635387661,POINT (-13627638.83283901 4549894.577132052),-13627638.83283901,4549894.577132052,135
10635743464,POINT (-13626524.391152782 4544804.78097541),-13626524.391152782,4544804.78097541,70
10635824452,POINT (-13626556.373242486 4545226.77055625),-13626556.373242486,4545226.77055625,174
10636048961,POINT (-13626702.74724093 4545812.002979661),-13626702.74724093,4545812.002979661,281
10647281314,POINT (-13626401.405379351 4544594.644396659),-13626401.405379351,4544594.644396659,257
10648027954,POINT (-13626537.860811168 4549102.310481998),-13626537.860811168,4549102.310481998,201
10650775709,POINT (-13627009.543757558 4544541.635738269),-13627009.543757558,4544541.635738269,17
10650775710,POINT (-13626993.213188259 4544543.508283889),-13626993.213188259,4544543.508283889,17
10650900972,POINT (-13626667.748393025 4544794.6013972135),-13626667.748393025,4544794.6013972135,70
10651024023,POINT (-13624656.349909728 4550545.310576817),-13624656.349909728,4550545.310576817,185
10652785994,POINT (-13626347.304106828 4544592.2368262485),-13626347.304106828,4544592.2368262485,257
10652821575,POINT (-13626475.087750308 4544551.941782999),-13626475.087750308,4544551.941782999,257
10652851800,POINT (-13626495.937890936 4544580.9170289645),-13626495.937890936,4544580.9170289645,70
10653584702,POINT (-13626593.921306731 4544572.01888849),-13626593.921306731,4544572.01888849,70
10653584703,POINT (-13626603.583838534 4544571.42755664),-13626603.583838534,4544571.42755664,70
10653584704,POINT (-13626613.914287278 4544570.737669523),-13626613.914287278,4544570.737669523,70
10653649605,POINT (-13626575.297555922 4544546.225587531),-13626575.297555922,4544546.225587531,70
10653793784,POINT (-13626642.28962548 4544568.8510396825),-13626642.28962548,4544568.8510396825,70
10653793785,POINT (-13626656.371541066 4544568.7524844),-13626656.371541066,4544568.7524844,70
10653835782,POINT (-13626744.903932093 4544560.4034475675),-13626744.903932093,4544560.4034475675,70
10653835783,POINT (-13626759.553577082 4544561.107413315),-13626759.553577082,4544561.107413315,70
10653835784,POINT (-13626766.043503396 4544559.4601335395),-13626766.043503396,4544559.4601335395,70
10653835785,POINT (-13626814.434086043 4544556.404923021),-13626814.434086043,4544556.404923021,70
